fact-000,248045,846,198,3710,369,279,6511,314,9338,30,17308,440,1132,279,3177,803,13,248046,198,248045,74455,198,248068,271,248069,271,561,4087,369,11751,13,22677,11,411,57879,6337,369,23185,3808,5081,13263,321,51123,7189,13,11956,513,2420,303,279,3813,7189,13,561,4087,369,11751,13,22677,11,411,57879,6337,369
fact-010,248045,846,198,3710,369,279,6511,314,11920,30,17308,440,1132,279,3177,803,13,248046,198,248045,74455,198,248068,271,248069,271,561,4087,369,11920,4170,13,22677,11,411,57879,6337,369,23185,3808,5081,13263,321,51123,7189,13,11956,513,2420,303,279,3813,7189,13,561,4087,369,11920,4170,13,22677,11,411,57879
arit-000,248045,846,198,3710,369,220,19,16,20,478,220,24,23,24,30,17308,440,1132,279,1324,13,248046,198,248045,74455,198,248068,271,248069,271,30327,1060,2923,539,2923,25,1042,586,9845,539,12910,1754,4496,15060,13,29381,321,81288,27510,9085,34237,279,1534,23185,4087,25,220,16,19,15,19,13,30327,1060
arit-010,248045,846,198,3710,369,220,18,21,348,220,16,22,30,17308,440,1132,279,1324,13,248046,198,248045,74455,198,248068,271,248069,271,30327,1060,2923,539,2923,25,1042,586,9845,539,12910,1754,4496,15060,13,29381,321,81288,27510,9085,34237,279,1534,23185,4087,25,220,21,16,17,13,30327,1060,2923,539,2923
codi-000,248045,846,198,7734,264,12654,709,884,2784,11,292,8,421,4523,836,2542,13,17308,440,1132,279,709,1970,11,874,15673,13,248046,198,248045,74455,198,248068,271,248069,271,198,2,29806,3447,198,727,6093,4406,198,262,4071,9267,889,440,22188,6813,71483,198,262,460,2912,198,2,3839,314,7873,2424,198
codi-005,248045,846,198,7734,264,12654,709,9637,3773,1104,8,421,4523,274,26548,13,17308,440,1132,279,709,1970,13,248046,198,248045,74455,198,248068,271,248069,271,198,2,29806,3447,198,727,6093,4406,198,262,4071,9267,889,440,22188,6813,71483,198,262,460,2912,198,2,3839,314,7873,2424,198,198,2,29806,3447
summ-000,248045,846,198,8917,5437,537,279,2614,13901,303,799,11316,25,271,760,54517,24544,63222,383,279,7948,22317,1345,338,68042,4086,806,29997,13,16120,57157,295,2789,836,50692,13643,11,321,279,40554,13569,12854,279,30592,3023,494,279,26655,13,3113,11129,279,2919,557,18717,1495,13,248046,198,248045,74455,198,248068,271
summ-005,248045,846,198,56491,1205,279,2614,13901,303,264,15440,1647,11,9976,660,12688,25,271,760,2235,6522,383,27466,6476,9687,888,34227,15706,25442,13,11116,5122,2956,682,15740,36620,34044,11,34844,47788,11,321,264,39926,59678,13,94902,5640,494,2944,3023,310,8238,1141,8581,45248,4281,13,248046,198,248045,74455,198,248068
bili-000,248045,846,198,37436,279,2614,11316,6681,25,271,760,7993,7338,383,279,5344,13,248046,198,248045,74455,198,248068,271,248069,271,733,5629,14053,25,561,7993,7338,383,279,5344,486,11396,1273,93144,321,54731,25054,310,5129,6376,3992,43015,13,733,5629,14053,25,561,7993,7338,383,279,5344,486,11396,1273,93144,321
bili-005,248045,846,198,37436,279,2614,11316,6681,25,271,2014,22544,264,1834,13205,279,10352,3023,13,248046,198,248045,74455,198,248068,271,248069,271,733,5629,14053,25,1473,22544,264,1834,13205,279,10352,3023,486,11396,1273,93144,321,54731,25054,310,5129,6376,3992,43015,13,733,5629,14053,25,1473,22544,264,1834,13205,279,10352
